FDIProj,Year,Source_country,Destination_country,Amount,Sector,Project_type,Ownership_final,Precision_final,Ancmtyear,Opyear_final,xcoord,ycoord
313455,2018,China,South Africa,7.5,Communications,New,CS,3,,2018,28.04731,-26.2041
313515,2018,China,Morocco,55.4,Communications,New,POE,3,,U,-5.83395,35.75947
313675,2018,China,Nigeria,178,Renewable energy,New,CS,7,,U,8.67528,9.082
314094,2018,Hong Kong,South Africa,11.9,Textiles,New,POE,1,U,2018,28.04844,-26.26831
314360,2018,China,South Africa,4.4,Consumer products,New,POE,1,2018,U,28.00481,-26.08794
314363,2018,China,Nigeria,4.4,Consumer products,New,POE,1,2018,U,7.03944,4.84156
315217,2018,China,Egypt,7.5,Communications,New,POE,1,2018,U,31.31531,30.08006
315218,2018,China,Egypt,7.5,Communications,New,POE,1,2018,U,31.34556,30.05719
316061,2018,China,Ethiopia,148.3,Textiles,New,POE,9,2018,2018,39.30606,8.51306
317510,2018,China,South Africa,96.5,Communications,New,POE,3,,U,28.04731,-26.2041
318039,2018,China,Ethiopia,5.3,Real estate,New,CS,3,,2018,38.75776,8.9806
318238,2018,China,Kenya,25,Ceramics & glass,Expansion,POE,1,2018,U,36.82195,-1.29207
318251,2018,China,Egypt,450,Renewable energy,New,POE,7,,U,-77.40749,43.06423
319203,2018,China,Tanzania,72.9,Automotive OEM,New,PS,7,,U,34.88882,-6.36903
319309,2018,Hong Kong,Algeria,6000,Chemicals,New,CS,3,,U,8.16619,34.65794
706781,2008,China,Niger,1641.2,"Coal, oil & gas",New,CS,3,,2011,8.98531,13.80181
988161,2009,China,Egypt,7,Communications,Expansion,POE,1,U,2009,31.01774,29.97192
1465421,2012,China,Egypt,        NA,Food & tobacco,New,POE,3,,2017,30.2947,30.91382
1584412,2012,Hong Kong,Ethiopia,        NA,Communications,New,POE,3,,2012,37.09815,6.07403
1925351,2014,China,Ghana,        NA,Chemicals,New,POE,1,2014,U,-0.26869,5.57906
1974481,2014,Hong Kong,South Africa,28.3,Real estate,New,POE,1,U,2014,18.52106,-33.88556
1974491,2014,Hong Kong,South Africa,28.3,Real estate,New,POE,1,U,2014,18.41831,-33.90481
2065031,2014,China,Rwanda,11.3,Textiles,New,POE,9,2014,2014,30.11274,-1.95788
2118161,2014,China,Nigeria,        NA,"Coal, oil & gas",New,CS,3,,2017,7.04984,4.81555
2178391,2014,China,Cameroon,        NA,Communications,New,POE,1,U,2014,11.51031,3.90106
2320841,2015,China,Morocco,        NA,Communications,New,POE,1,U,2015,-7.64081,33.53719
2391441,2015,China,South Africa,        NA,Aerospace,New,CS,1,U,2011,22.18819,-33.59831
2391442,2015,China,South Africa,        NA,Aerospace,New,CS,1,U,2011,22.37769,-34.00294
2454371,2016,China,Algeria,        NA,Automotive OEM,New,PS,1,2016,2018,3.31294,36.72419
2540261,2016,China,Egypt,        NA,Communications,New,POE,1,U,2016,31.02256,30.07869
2602312,2016,China,Ghana,        NA,Electronic components,New,POE,1,U,2016,-0.14381,5.63081
2621901,2016,China,South Africa,        NA,Communications,New,POE,1,U,U,18.51231,-33.89181
2634581,2016,China,Zambia,        NA,Communications,New,POE,1,2016,2017,28.31656,-15.38819
2729812,2017,China,Egypt,        NA,Electronic components,New,POE,1,U,2017,31.01269,30.07381
2834421,2017,China,Egypt,        NA,Communications,New,POE,1,U,2017,30.97194,30.00631
2847501,2017,Hong Kong,Kenya,        NA,Leisure & entertainment,New,POE,3,,2017,36.43103,-0.71718
2847502,2017,Hong Kong,Kenya,        NA,Leisure & entertainment,New,POE,3,,2017,35.26978,0.51428
2847503,2017,Hong Kong,Kenya,        NA,Leisure & entertainment,New,POE,3,,2017,34.75186,0.28273
2847504,2017,Hong Kong,Kenya,        NA,Leisure & entertainment,New,POE,3,,2017,36.9158,-1.27739
2847505,2017,Hong Kong,Kenya,        NA,Leisure & entertainment,New,POE,3,,2017,36.82689,-1.28302
2847506,2017,Hong Kong,Kenya,        NA,Leisure & entertainment,New,POE,3,,2017,36.82726,-1.28248
2847507,2017,Hong Kong,Kenya,        NA,Leisure & entertainment,New,POE,3,,2017,36.75237,-1.28227
2847508,2017,Hong Kong,Kenya,        NA,Leisure & entertainment,New,POE,3,,2017,36.78535,-1.32613
3046401,2018,China,Zambia,        NA,Food & tobacco,New,POE,1,2018,U,28.44569,-15.38131
3102631,2018,Hong Kong,Morocco,        NA,Metals,New,CS,9,2018,2019,-6.38392,34.30112
